Date,Open,High,Low,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,Close,CloseY
2021-02-05,638,641,631,590.1206665,53267273,618.25,60.3175,618.25,22.9023,664.0546,572.4454,620.0054242,599.9059298,20.09949439,23.25303004,-3.153535646,632,663
2021-02-17,663,668,660,619.0664063,107614290,622.2,64.1577,622.2,23.4893,669.1786,575.2214,626.6199743,604.5795646,22.04040969,23.01050597,-0.97009628,663,660
2021-02-18,664,665,656,616.2653198,53109010,625.65,62.5455,625.65,23.7316,673.1132,578.1868,631.7553629,608.6847821,23.07058082,23.02252094,0.048059882,660,652
2021-02-19,656,657,647,608.7954102,50279585,628,58.7361,628,23.9055,675.811,580.189,634.8699224,611.8933167,22.97660571,23.01333789,-0.036732178,652,650
2021-02-22,660,662,650,606.9279175,36474610,630.9,61.2403,630.9,22.801,676.502,585.298,637.1976267,614.716034,22.48159268,22.90698885,-0.425396174,650,641
2021-02-23,641,643,633,598.524292,50076333,632.9,57.7519,632.9,21.7713,676.4426,589.3574,637.7826072,616.6629944,21.11961274,22.54951363,-1.429900885,641,625
2021-02-24,627,636,625,583.5844727,66206750,633.8,53.3582,633.8,21.0028,675.8056,591.7944,635.8160522,617.2805504,18.53550182,21.74671127,-3.211209443,625,635
2021-02-25,636,636,628,592.921875,43231417,634.2,51.5504,634.2,20.9425,676.085,592.315,635.6905057,618.5931022,17.09740351,20.81684972,-3.71944621,635,606
2021-02-26,611,618,606,565.8434448,111861175,632.15,42.3221,632.15,21.6194,675.3888,588.9112,631.1227356,617.6602798,13.46245578,19.34597093,-5.883515148,606,609
2021-03-02,621,622,609,568.6447144,54041533,628.95,36.8852,628.95,19.9248,668.7996,589.1004,627.7192378,617.0187776,10.7004602,17.61686878,-6.916408581,609,622
2021-03-03,609,622,601,580.7833252,48252965,627.6,44.206,627.6,19.4027,666.4054,588.7946,626.8393551,617.3877571,9.451598024,15.98381463,-6.532216607,622,601
2021-03-04,609,611,601,561.1748657,67711962,626,43.2773,626,20.2355,666.471,585.529,622.8640697,616.1738491,6.690220556,14.12509582,-7.43487526,601,601
2021-03-05,588,605,584,561.1748657,79918467,625.2,46.3964,625.2,20.9149,667.0298,583.3702,619.5003667,615.0498603,4.450506351,12.19017792,-7.739671572,601,598
2021-03-08,608,610,598,558.3737793,43219772,624.35,46.1883,624.35,21.6826,667.7152,580.9848,616.1926179,613.7869077,2.40571025,10.23328439,-7.827574139,598,595
2021-03-09,585,595,585,555.5725098,68768861,624.05,48.5849,624.05,22.0609,668.1718,579.9282,612.9322152,612.3952849,0.536930281,8.294013567,-7.757083286,595,597
2021-03-10,601,601,593,557.4399414,40146301,624.35,51.4706,624.35,21.6242,667.5984,581.1016,610.4811052,611.2548934,-0.773788273,6.480453199,-7.254241472,597,609
